WA
"5600001716,0017300001,001,1710"
"5600001710,0017300001,001,1710"
"5600001711,0017300001,001,1710"
"5600001715,0017300002,001,1710"
"4500000001,USSU-VSF04,002,1710"
"4500000002,USSU-VSF02,002,1710"
"4500000003,USSU-VSF01,002,1710"
"4500000004,USSU-VSF05,002,1710"
"4500000005,USSU-VSF06,002,1710"
"4500000006,USSU-VSF07,002,1710"
"4500000007,USSU-VSF08,002,1710"
"4500000008,USSU-VSF08,002,1710"
"4500000009,USSU-VSF06,002,1710"
"4500000010,USSU-VSF01,002,1710"
"4500000011,USSU-VSF01,002,1710"
"4500000012,USSU-VSF01,002,1710"
"4500000013,USSU-VSF04,002,1710"
"4500000014,USSU-VSF02,002,1710"
"4500000015,USSU-VSF01,002,1710"
"4500000016,USSU-VSF05,002,1710"
"4500000017,USSU-VSF06,002,1710"
"4500000018,USSU-VSF07,002,1710"
"4500000019,USSU-VSF08,002,1710"
"4500000020,USSU-VSF08,002,1710"
"4500000021,USSU-VSF06,002,1710"
"4500000022,USSU-VSF01,002,1710"
"4500000023,USSU-VSF01,002,1710"
"4500000024,USSU-VSF01,002,1710"
"4500000025,0017300002,003,1710"
"4500000026,0017300002,003,1710"
"4500000027,0017300006,002,1710"
"7000000000,          ,001,1710"
"8000000000,0017300001,001,1710"
"8000000001,0017300002,001,1710"
"4500000028,0017300002,001,1710"
"4500000029,0017300001,001,1710"
"4500000030,0017300001,001,1710"
"4500000031,0017300002,001,1710"
"4500000032,0017300007,001,1710"
"4500000040,0017300006,002,1710"
"4500000034,0017300002,001,1710"
"4500000035,0017300001,001,1710"
"4500000036,0017300001,001,1710"
"4500000037,0017300001,001,1710"
"4500000038,0017300001,002,1710"
"4500000039,0017300001,001,1710"
"4500000041,0017300001,001,1710"
"5600001016,0010300001,001,1010"
"4500000139,0017300001,001,1710"
"5600001010,0010300001,001,1010"
"5600001011,0010300001,001,1010"
"5600001015,0010300002,001,1010"
"4500000042,USSU-VSF04,002,1710"
"4500000043,USSU-VSF02,002,1710"
"4500000044,USSU-VSF01,002,1710"
"4500000045,USSU-VSF05,002,1710"
"4500000046,USSU-VSF06,002,1710"
"4500000047,USSU-VSF07,002,1710"
"4500000048,USSU-VSF08,002,1710"
"4500000049,USSU-VSF08,002,1710"
"4500000050,USSU-VSF06,002,1710"
"4500000051,USSU-VSF01,002,1710"
"4500000052,USSU-VSF01,002,1710"
"4500000053,USSU-VSF01,002,1710"
"4500000054,0017300001,002,1710"
"4500000055,0017300001,003,1710"
"4600000001,0017300031,001,1710"
"4600000002,EWM17-SU01,001,1710"
"4600000003,USSU-VSF01,Z90,1710"
"4500000056,EWM17-SU01,002,1710"
"4500000057,EWM17-SU01,002,1710"
"4500000058,EWM17-SU01,002,1710"
"4500000059,EWM17-SU01,002,1710"
"4500000060,EWM17-SU01,002,1710"
"4500000061,0017300001,001,1710"
"4500000062,0017300002,001,1710"
"4500000063,0017300002,001,1710"
"4500000064,0017300002,001,1710"
"4500000065,0017300001,001,1710"
"4500000066,0017300001,001,1710"
"4500000067,0017300001,001,1710"
"4500000068,EWM17-SU01,002,1710"
"4500000069,EWM17-SU01,002,1710"
"4500000070,EWM17-SU01,002,1710"
"4500000071,EWM17-SU01,002,1710"
"4500000072,0017300001,001,1710"
"4500000073,0017300007,001,1710"
"4500000074,USSU-VSF04,002,1710"
"4500000075,USSU-VSF02,002,1710"
"4500000076,USSU-VSF01,002,1710"
"4500000077,USSU-VSF05,002,1710"
"4500000078,USSU-VSF06,002,1710"
"4500000079,USSU-VSF07,002,1710"
"4500000080,USSU-VSF08,002,1710"
"4500000081,USSU-VSF08,002,1710"
"4500000082,USSU-VSF06,002,1710"
"4500000083,USSU-VSF01,002,1710"
"4500000084,USSU-VSF01,002,1710"
"4500000085,USSU-VSF01,002,1710"
"4500000086,USSU-VSF04,002,1710"
"4500000087,USSU-VSF02,002,1710"
"4500000088,USSU-VSF01,002,1710"
"4500000089,USSU-VSF05,002,1710"
"4500000090,USSU-VSF06,002,1710"
"4500000091,USSU-VSF07,002,1710"
"4500000092,USSU-VSF08,002,1710"
"4500000093,USSU-VSF08,002,1710"
"4500000094,USSU-VSF06,002,1710"
"4500000095,USSU-VSF01,002,1710"
"4500000096,USSU-VSF01,002,1710"
